nom,latitude,longitude,categorie,statut,description,avis,note
Jardin Vivienne,48.86764053266031, 2.3386676470706314,Endroit,A faire,"petit havre de paix niché derrière la Bibliothèque nationale de France, peu frequente",,4
Le Refuge des Fondus,48.8846172909076, 2.3411209242766224,Resto,A faire,"Toujours le meme menu (30 euros), fondue bourguignone ou fondue au fromage",,3.8
Mannie,48.86448786075827, 2.3415275508724296,Resto,A faire,"Burger vegetarien, tres tres bien note mais je ne suis pas convaincu, un poil cher (4 euros les frites, 13 les burgers)",,3.8
My Noodles,48.84195790189823, 2.3315992784281327,Resto,A faire,"Nouilles chinoises, faites sur place sous les yeux des clients","Pas tres cher, autour de 11 euros le plat",4.5
L'As du Fallafel,48.85749137781307, 2.3591961969055864,Resto,A faire,"Fallafel tres (surement trop) cote, selon moi a evite","Se trouve dans une rue ultra passante et touristique",3.2
Le rouge aux lèvres,48.85148143476284, 2.4052702576722678,Resto,A faire,"Resto/Bistro francais, a l'aire vraiment tres bien, E + P + D = 25 euros (surement que le midi en semaine, a voir)","Tres recommandable, les plats sont soignes et sortent de l'ordinaire",4.65
Alma - Corse & Tapas,48.86640049693007, 2.3458908,Resto,A faire,"Bar a vins/cocktails & tappas, apparament tres bien et pas hors de prix",,4.15
Sapporo,48.86780676337227, 2.335645030689071,Resto,A faire,"Resto japonais (nouilles, curry, gyoza, ...), prix relativement eleves, n'a pas l'aire d'etre exceptionel",,3.9
Sapporo,48.8647177305089, 2.333267892067212,Resto,A faire,"Resto japonais (nouilles, curry, gyoza, ...), prix relativement eleves, n'a pas l'aire d'etre exceptionel",,3.9
Sürpriz - Berliner Kebab,48.86999738512077, 2.352975996906365,Resto,A faire,"Bien note, donne vraiment envie, 10 euros le menu","Valide",4.4
Lovebird Saint-Cloud,48.85691651758694, 2.2224278534651813,Resto,A faire,"Cuisine du Monde, à partager le soir, avec des cocktails élaborés en fonction des signes astro","Autour de 15 euros le cocktail, 10 euros le tappas, le midi E + P + D = 28 euros",3.9
La Fresque,48.86270691889599, 2.348072728836134,Resto,A faire,"Resto francais assez moderne, les plat changent tous les jours, E + P + D = 25 euros, 3 euros le verre de vin le midi","Valide",4.35
Polidor,48.850225455140034, 2.3401327712708997,Resto,A faire,"Birstro francais typique, pas hyper cher, a l'aire neanmoins normal",,3.85
Tokyotori,48.85028467806693, 2.339882642327732,Resto,A faire,"Japonais, sushis, nouilles, ... Prix resonables (13 euros les 8 sushi normaux, 17 les 8 california rolls)","N'a pas laire plus bon que ca",3.8
Maison de la culture Arménienne,48.876594297556565, 2.346064895721561,Resto,A faire,"Plats armniens, pas specialement cher, (17 euros le plat, 7 euros lentree), apparamment bien","A l'aire tres mystique",3.6
B.O.U.L.O.M,48.89451808496031, 2.3353561042858404,Resto,A faire,"Resto a volonte, avec produits du terroir et de saison, partie chaud, froid, dessert, charcuterie, fromages, ...","36 euros par personne le midi en semaine, 48 euros le soir et le weekend et jours feries, brunch a 58 euros le samedi, dianche, jours feries et ponts, a l'aire detre un bon rapport qualite prix",4.3
Le H Bar,48.855439936314, 2.391946341086114,Bar,A faire,"2,90€ la pinte en happy hour, a manger pas cher et c'est bon","Clairement valide",4.65
Gruppomimo,48.8550731620575, 2.375910803705874,Resto,A faire,"Resto italien pas cher et apparamment pas mal bon","À volonté tous les midis en semaine (18€) & les lundi et mardi soir (25€), Le reste du temps les plats sont à la carte",4.3
